participant,condition,digit_span
1,instrumental,5
1,pop,5
1,silence,6
1,whitenoise,4
2,instrumental,7
2,pop,8
2,silence,8
2,whitenoise,6
3,instrumental,5
3,pop,5
3,silence,3
3,whitenoise,5
4,instrumental,5
4,pop,5
4,silence,5
4,whitenoise,4
5,instrumental,5
5,pop,4
5,silence,6
5,whitenoise,4
6,instrumental,4
6,pop,5
6,silence,5
6,whitenoise,4
7,instrumental,5
7,pop,3
7,silence,6
7,whitenoise,5
8,instrumental,4
8,pop,4
8,silence,5
8,whitenoise,4
9,instrumental,4
9,pop,4
9,silence,6
9,whitenoise,4
10,instrumental,4
10,pop,4
10,silence,6
10,whitenoise,4
11,instrumental,4
11,pop,4
11,silence,5
11,whitenoise,5
12,instrumental,5
12,pop,4
12,silence,5
12,whitenoise,3
13,instrumental,5
13,pop,3
13,silence,7
13,whitenoise,4
